term	POS	sentiment
"abridge"	"v"	0.0
"abridgement"	"n"	0.0
"abridgment"	"n"	0.0
"abroad"	"adj"	0.0
"abroad"	"adv"	0.0
"abrogate"	"v"	0.0
"abrogation"	"n"	-2.0
"abrupt"	"adj"	-1.0
"abruptly"	"adv"	-1.0
"abruptness"	"n"	-1.0
"abscess"	"n"	-2.0
"abscessed"	"adj"	-2.0
"abscond"	"v"	-2.0
"absence"	"n"	0.0
"absent"	"adj"	-1.0
"absent"	"v"	0.0
"absentee"	"n"	-1.0
"absenteeism"	"n"	-1.0
"absently"	"adv"	0.0
"absinthe"	"n"	0.0
"absolute"	"adj"	0.0
"absolutely"	"adv"	1.0
"absolution"	"n"	1.0
"absolutism"	"n"	0.0
"absolve"	"v"	1.0
"absorb"	"v"	0.0
"absorbency"	"n"	0.0
"absorbent"	"adj"	0.0
"absorbing"	"adj"	1.0
"absorption"	"n"	0.0
"abstain"	"v"	0.0
"abstainer"	"n"	0.0
"abstemious"	"adj"	2.0
"abstention"	"n"	0.0
"abstinence"	"n"	1.0
"abstinent"	"adj"	0.0
"abstract"	"adj"	0.0
"abstract"	"v"	0.0
"abstracted"	"adj"	0.0
"abstraction"	"n"	0.0
"abstractly"	"adv"	0.0
"abstractness"	"n"	0.0
"abstruse"	"adj"	0.0
"abstrusely"	"adv"	0.0
"abstruseness"	"n"	0.0
"absurd"	"adj"	-1.0
"absurdity"	"n"	-1.0
"absurdly"	"adv"	-1.0
"abundance"	"n"	2.0
"abundant"	"adj"	2.0
"abundantly"	"adv"	1.0
"abuse"	"v"	-2.0
"abusive"	"adj"	-2.0
"abusively"	"adv"	-2.0
"abusiveness"	"n"	-2.0
"abut"	"v"	0.0
"abutment"	"n"	0.0
"abysmal"	"adj"	-3.0
"abysmally"	"adv"	-3.0
"abyss"	"n"	-1.0
"acacia"	"n"	0.0
"academia"	"n"	0.0
"academic"	"adj"	0.0
"academically"	"adv"	0.0
"academician"	"n"	0.0
"academy"	"n"	0.0
"accede"	"v"	0.0
"accelerate"	"v"	0.0
"acceleration"	"n"	0.0
"accelerator"	"n"	0.0
"accent"	"v"	0.0
"accentuate"	"v"	0.0
"accentuation"	"n"	0.0
"accept"	"v"	1.0
"acceptability"	"n"	0.0
"acceptable"	"adj"	1.0
"acceptably"	"adv"	1.0
"acceptance"	"n"	1.0
"access"	"v"	0.0
"accessibility"	"n"	0.0
"accessible"	"adj"	1.0
"accessibly"	"adv"	0.0
"accession"	"v"	0.0
"accessory"	"adj"	0.0
"accident"	"n"	-2.0
"accidental"	"adj"	0.0
"accidentally"	"adv"	0.0
"accident-prone"	"adj"	-1.0
"acclaim"	"v"	1.0
"acclamation"	"n"	3.0
"acclimate"	"v"	0.0
"acclimation"	"n"	0.0
"acclimatization"	"n"	0.0
"acclimatize"	"v"	0.0
"accolade"	"n"	2.0
"accommodate"	"v"	1.0
"accommodating"	"adj"	1.0
"accommodation"	"n"	0.0
"accommodations"	"n"	0.0
"accompaniment"	"n"	0.0
"accompanist"	"n"	0.0
"accompany"	"v"	0.0
"accomplice"	"n"	-1.0
"accomplish"	"v"	1.0
"accomplished"	"adj"	2.0
"accomplishment"	"n"	2.0
"accord"	"v"	0.0
"accordance"	"n"	0.0
"accordingly"	"adv"	0.0
"accordion"	"n"	0.0
"accost"	"v"	-1.0
"account"	"v"	0.0
"accountability"	"n"	0.0
"accountable"	"adj"	1.0
"accountant"	"n"	0.0
"accounting"	"n"	0.0
"accouterments"	"n"	0.0
"accredit"	"v"	0.0
"accreditation"	"n"	0.0
"accrue"	"v"	0.0
"acct."	"n"	0.0
"accumulate"	"v"	0.0
"accumulation"	"n"	0.0
"accumulative"	"adj"	0.0
"accuracy"	"n"	0.0
"accurate"	"adj"	2.0
"accurately"	"adv"	2.0
"accurateness"	"n"	0.0
"accursed"	"adj"	-2.0
"accusation"	"n"	-2.0
"accusative"	"adj"	0.0
"accusatory"	"adj"	-2.0
"accuse"	"v"	-1.0
"accused"	"n"	-2.0
"accuser"	"n"	-1.0
"accusingly"	"adv"	-2.0
"accustom"	"v"	0.0
"accustomed"	"adj"	0.0
"ace"	"adj"	3.0
"ace"	"v"	3.0
"acerbic"	"adj"	-1.0
"acerbity"	"n"	-1.0
"acetaminophen"	"n"	0.0
"acetate"	"n"	0.0
"acetone"	"n"	0.0
"acetylene"	"n"	0.0
"ache"	"v"	-1.0
"achievable"	"adj"	1.0
"achieve"	"v"	1.0
"achievement"	"n"	2.0
"achiever"	"n"	1.0
"achoo"	"n"	0.0
"achy"	"adj"	-1.0
"acid"	"adj"	0.0
"acidic"	"adj"	-1.0
"acidify"	"v"	0.0
"acidity"	"n"	-1.0
"acidly"	"adv"	-1.0
"acknowledge"	"v"	0.0
"acknowledgement"	"n"	0.0
"acknowledgment"	"n"	0.0
"acme"	"n"	0.0
"acne"	"n"	-1.0
"acolyte"	"n"	0.0
"acorn"	"n"	0.0
"acoustic"	"adj"	0.0
"acoustical"	"adj"	0.0
"acoustically"	"adv"	0.0
"acoustics"	"n"	0.0
"acquaint"	"v"	0.0
"acquaintance"	"n"	0.0
"acquiesce"	"v"	0.0
"acquiescence"	"n"	0.0
"acquiescent"	"adj"	0.0
"acquire"	"v"	0.0
"acquirement"	"n"	0.0
"acquisition"	"n"	0.0
"acquisitive"	"adj"	-1.0
"acquisitiveness"	"n"	-1.0
"acquit"	"v"	0.0
"acquittal"	"n"	0.0
"acre"	"n"	0.0
"acreage"	"n"	0.0
"acrid"	"adj"	-1.0
"acrimonious"	"adj"	-2.0
"acrimony"	"n"	-2.0
"acrobat"	"n"	0.0
"acrobatic"	"adj"	0.0
"acrobatics"	"n"	0.0
"acronym"	"n"	0.0
"acropolis"	"n"	0.0
"across"	"adv"	0.0
"across-the-board"	"adj"	0.0
"acrylic"	"adj"	0.0
"act"	"v"	0.0
"acting"	"adj"	0.0
"action"	"v"	0.0
"activate"	"v"	0.0
"activation"	"n"	0.0
"active"	"adj"	2.0
"actively"	"adv"	1.0
"activism"	"n"	0.0
"activist"	"adj"	0.0
"activity"	"n"	0.0
"actor"	"n"	0.0
"actress"	"n"	0.0
"actual"	"adj"	0.0
"actuality"	"n"	0.0
"actualization"	"n"	1.0
"actualize"	"v"	0.0
"actually"	"adv"	0.0
"actuarial"	"adj"	0.0
"actuary"	"n"	0.0
"actuate"	"v"	0.0
"acuity"	"n"	2.0
"acumen"	"n"	2.0
"acupuncture"	"n"	0.0
"acupuncturist"	"n"	0.0
"acute"	"adj"	0.0
"acutely"	"adv"	0.0
"acuteness"	"n"	0.0
"ad"	"adv"	0.0
"adage"	"n"	0.0
"adagio"	"adj"	0.0
"adagio"	"adv"	0.0
"adamant"	"adj"	-1.0
"adamantly"	"adv"	-1.0
"adapt"	"v"	0.0
"adaptability"	"n"	0.0
"adaptable"	"adj"	1.0
"adaptation"	"n"	0.0
"adapter"	"n"	0.0
"adaptor"	"n"	0.0
"add"	"v"	0.0
"addend"	"n"	0.0
"addenda"	"n"	0.0
"addendum"	"n"	0.0
"adder"	"n"	0.0
"addict"	"v"	-1.0
"addicted"	"adj"	-2.0
"addiction"	"n"	-2.0
"addictive"	"adj"	-1.0
"addition"	"n"	0.0
"additional"	"adj"	0.0
"additionally"	"adv"	0.0
"additive"	"adj"	0.0
"addle"	"v"	0.0
"address"	"v"	0.0
"addressee"	"n"	0.0
"adduce"	"v"	0.0
"adenoidal"	"adj"	0.0
"adenoids"	"n"	-1.0
"adept"	"adj"	2.0
"adeptly"	"adv"	2.0
"adeptness"	"n"	2.0
"adequacy"	"n"	0.0
"adequate"	"adj"	1.0
"adequately"	"adv"	-1.0
"adhere"	"v"	0.0
"adherence"	"n"	0.0
"adherent"	"adj"	0.0
"adhesion"	"n"	0.0
"adhesive"	"adj"	0.0
"adieu"	"n"	0.0
"adieux"	"n"	0.0
"adios"	"n"	0.0
"adipose"	"adj"	0.0
"adj."	"n"	0.0
"adjacent"	"adj"	0.0
"adjectival"	"adj"	0.0
"adjectivally"	"adv"	0.0
"adjective"	"adj"	0.0
"adjoin"	"v"	0.0
"adjoining"	"adj"	0.0
"adjourn"	"v"	0.0
"adjournment"	"n"	0.0
"adjudge"	"v"	0.0
"adjudicate"	"v"	0.0
"adjudication"	"n"	0.0
"adjudicator"	"n"	0.0
"adjunct"	"adj"	0.0
"adjure"	"v"	0.0
"adjust"	"v"	0.0
"adjustable"	"adj"	1.0
"adjuster"	"n"	0.0
"adjustment"	"n"	0.0
"adjustor"	"n"	0.0
"adjutant"	"n"	0.0
"ad-lib"	"adj"	0.0
"ad-lib"	"v"	0.0
"adman"	"n"	0.0
"administer"	"v"	0.0
"administrate"	"v"	0.0
"administration"	"n"	0.0
"administrative"	"adj"	0.0
"administrator"	"n"	0.0
"admirable"	"adj"	2.0
"admirably"	"adv"	2.0
"admiral"	"n"	0.0
"admiralty"	"n"	0.0
"admiration"	"n"	2.0
"admire"	"v"	2.0
"admirer"	"n"	1.0
"admiringly"	"adv"	1.0
"admissibility"	"n"	0.0
"admissible"	"adj"	1.0
"admission"	"n"	0.0
"admit"	"v"	0.0
"admittance"	"n"	0.0
"admittedly"	"adv"	0.0
"admixture"	"n"	0.0
"admonish"	"v"	-1.0
"admonishment"	"n"	-1.0
"admonition"	"n"	-1.0
"admonitory"	"adj"	-1.0
"ado"	"n"	0.0
"adobe"	"n"	0.0
"adolescence"	"n"	0.0
"adolescent"	"adj"	0.0
"adopt"	"v"	0.0
"adoption"	"n"	0.0
"adoptive"	"adj"	0.0
"adorable"	"adj"	2.0
"adorably"	"adv"	2.0
"adoration"	"n"	2.0
"adore"	"v"	2.0
"adorn"	"v"	0.0
"adornment"	"n"	0.0
"adrenal"	"adj"	0.0
"adrenaline"	"n"	0.0
"adrift"	"adj"	-1.0
"adrift"	"adv"	-1.0
"adroit"	"adj"	1.0
"adroitly"	"adv"	2.0
"adroitness"	"n"	2.0
"adulate"	"v"	2.0
"adulation"	"n"	2.0
"adult"	"adj"	0.0
"adulterant"	"adj"	0.0
"adulterate"	"v"	-1.0
"adulterated"	"adj"	-1.0
"adulteration"	"n"	-1.0
"adulterer"	"n"	-2.0
"adulteress"	"n"	-2.0
"adulterous"	"adj"	-2.0
"adultery"	"n"	-2.0
"adulthood"	"n"	0.0
"adv."	"n"	0.0
"advance"	"v"	1.0
"advanced"	"adj"	2.0
"advancement"	"n"	2.0
"advances"	"n"	0.0
"advantage"	"v"	1.0
"advantageous"	"adj"	2.0
"advantageously"	"adv"	2.0
"advent"	"n"	0.0
"adventure"	"v"	0.0
"adventurer"	"n"	2.0
"adventuresome"	"adj"	1.0
"adventuress"	"n"	2.0
"adventurous"	"adj"	2.0
"adventurously"	"adv"	0.0
"adverb"	"n"	0.0
"adverbial"	"adj"	0.0
"adversarial"	"adj"	-2.0
"adversary"	"n"	-2.0
"adverse"	"adj"	-2.0
"adversely"	"adv"	-2.0
"adversity"	"n"	-2.0
"advert"	"v"	0.0
"advertise"	"v"	0.0
"advertisement"	"n"	0.0
"advertiser"	"n"	0.0
"advertising"	"n"	0.0
"advice"	"n"	0.0
"advisability"	"n"	0.0
"advisable"	"adj"	1.0
"advise"	"v"	0.0
"advisedly"	"adv"	0.0
"adviser"	"n"	0.0
"advisor"	"n"	0.0
"advisory"	"adj"	0.0
"advocacy"	"n"	0.0
"advocate"	"v"	1.0
"advt."	"n"	0.0
"adz"	"n"	0.0
"adze"	"n"	0.0
"aegis"	"n"	0.0
"aeon"	"n"	0.0
"aerate"	"v"	0.0
"aeration"	"n"	0.0
"aerator"	"n"	0.0
"aerial"	"adj"	0.0
"aerialist"	"n"	0.0
"aerie"	"n"	0.0
"aerobatics"	"n"	0.0
"aerobic"	"adj"	0.0
"aerobics"	"n"	0.0
"aerodynamic"	"adj"	0.0
"aerodynamically"	"adv"	0.0
"aerodynamics"	"n"	0.0
"aeronautical"	"adj"	0.0
"aeronautics"	"n"	0.0
"aeroplane"	"n"	0.0
"aerosol"	"n"	0.0
"aerospace"	"n"	0.0
"aesthete"	"n"	0.0
"aesthetic"	"adj"	1.0
"aesthetically"	"adv"	1.0
"aesthetics"	"n"	0.0
"afar"	"adv"	0.0
"affability"	"n"	1.0
"affable"	"adj"	2.0
"affably"	"adv"	1.0
"affair"	"n"	-1.0
"affairs"	"n"	0.0
"affect"	"v"	0.0
"affectation"	"n"	-1.0
"affected"	"adj"	0.0
"affecting"	"adj"	0.0
"affection"	"n"	2.0
"affectionate"	"adj"	2.0
"affectionately"	"adv"	2.0
"affidavit"	"n"	0.0
"affiliate"	"v"	0.0
"affiliation"	"n"	0.0
"affinity"	"n"	1.0
"affirm"	"v"	1.0
"affirmation"	"n"	2.0
"affirmative"	"adj"	2.0
"affirmatively"	"adv"	1.0
"affix"	"v"	0.0
"afflict"	"v"	-2.0
"affliction"	"n"	-2.0
"affluence"	"n"	1.0
"affluent"	"adj"	2.0
"afford"	"v"	1.0
"affordable"	"adj"	2.0
"afforest"	"v"	0.0
"afforestation"	"n"	0.0
"affray"	"n"	-1.0
"affront"	"v"	-1.0
"afghan"	"adj"	0.0
"aficionado"	"n"	0.0
"afield"	"adv"	0.0
"afire"	"adj"	1.0
"aflame"	"adj"	0.0
"afloat"	"adj"	0.0
"aflutter"	"adj"	0.0
"afoot"	"adj"	0.0
"afoot"	"adv"	0.0
"aforementioned"	"adj"	0.0
"aforesaid"	"adj"	0.0
"afoul"	"adj"	-1.0
"afraid"	"adj"	-2.0
"afresh"	"adv"	1.0
"african"	"adj"	0.0
"african-american"	"adj"	0.0
"afrikaans"	"adj"	0.0
"afro-american"	"adj"	0.0
"aft"	"adj"	0.0
"aft"	"adv"	0.0
"after"	"adj"	0.0
"after"	"adv"	0.0
"afterbirth"	"n"	0.0
"afterburner"	"n"	0.0
"aftereffect"	"n"	0.0
"afterglow"	"n"	2.0
"afterlife"	"n"	0.0
"aftermath"	"n"	0.0
"afternoon"	"n"	0.0
"aftershave"	"n"	0.0
"afterthought"	"n"	0.0
"afterward"	"adv"	0.0
"afterwards"	"adv"	0.0
"afterword"	"n"	0.0
"again"	"adv"	0.0
"against"	"prep"	-1.0
"agape"	"adj"	0.0
"agate"	"n"	0.0
"agave"	"n"	0.0
"age"	"v"	0.0
"aged"	"adj"	-1.0
"ageless"	"adj"	2.0
"agency"	"n"	0.0
"agenda"	"n"	0.0
"agent"	"n"	0.0
"age-old"	"adj"	0.0
"agglomeration"	"n"	0.0
"agglutination"	"n"	0.0
"aggrandize"	"v"	0.0
"aggrandizement"	"n"	-2.0
"aggravate"	"v"	-1.0
"aggravation"	"n"	-1.0
"aggregate"	"adj"	0.0
"aggregate"	"v"	0.0
"aggregation"	"n"	0.0
"aggression"	"n"	-2.0
"aggressive"	"adj"	-1.0
"aggressively"	"adv"	-2.0
"aggressiveness"	"n"	-2.0
"aggressor"	"n"	-2.0
"aggrieved"	"adj"	-2.0
"aghast"	"adj"	-2.0
"agile"	"adj"	1.0
"agilely"	"adv"	1.0
"agility"	"n"	2.0
"agitate"	"v"	-1.0
"agitation"	"n"	-1.0
"agitator"	"n"	-1.0
"aglitter"	"adj"	0.0
"aglow"	"adj"	1.0
"agnostic"	"adj"	0.0
"agnosticism"	"n"	0.0
"ago"	"adj"	0.0
"ago"	"adv"	0.0
"agog"	"adj"	1.0
"agonize"	"v"	-1.0
"agonizing"	"adj"	-2.0
"agonizingly"	"adv"	-2.0
"agony"	"n"	-2.0
"agrarian"	"adj"	0.0
"agree"	"v"	0.0
"agreeable"	"adj"	2.0
"agreeably"	"adv"	1.0
"agreement"	"n"	0.0
"agribusiness"	"n"	0.0
"agricultural"	"adj"	0.0
"agriculture"	"n"	0.0
"agronomist"	"n"	0.0
"agronomy"	"n"	0.0
"aground"	"adj"	0.0
"aground"	"adv"	0.0
"ague"	"n"	-1.0
"ah"	"n"	0.0
"aha"	"n"	0.0
"ahead"	"adj"	1.0
"ahead"	"adv"	1.0
"ahem"	"n"	0.0
"ahoy"	"n"	0.0
"aid"	"v"	1.0
"aide"	"n"	0.0
"ail"	"v"	-1.0
"aileron"	"n"	0.0
"ailment"	"n"	-2.0
"aim"	"v"	0.0
"aimless"	"adj"	-1.0
"aimlessly"	"adv"	-2.0
"aimlessness"	"n"	-2.0
"air"	"v"	0.0
"airborne"	"adj"	0.0
"airbrush"	"v"	0.0
"air-condition"	"v"	0.0
"aircraft"	"n"	0.0
"airfield"	"n"	0.0
"airhead"	"n"	-2.0
"airily"	"adv"	-1.0
"airless"	"adj"	-1.0
"airlift"	"v"	0.0
"airline"	"n"	0.0
"airliner"	"n"	0.0
"airmail"	"v"	0.0
"airman"	"n"	0.0
"airplane"	"n"	0.0
"airport"	"n"	0.0
"airship"	"n"	0.0
"airsick"	"adj"	-1.0
"airsickness"	"n"	-1.0
"airspace"	"n"	0.0
"airstrip"	"n"	0.0
"airtight"	"adj"	0.0
"airwaves"	"n"	0.0
"airway"	"n"	0.0
"airy"	"adj"	0.0
"aisle"	"n"	0.0
"ajar"	"adj"	0.0
"akimbo"	"adj"	0.0
"akimbo"	"adv"	0.0
"akin"	"adj"	0.0
"alabaster"	"adj"	0.0
"alacrity"	"n"	0.0
"alarm"	"v"	-1.0
"alarming"	"adj"	-2.0
"alarmingly"	"adv"	-2.0
"alarmist"	"adj"	-1.0
"alas"	"adv"	-1.0
"albacore"	"n"	0.0
"albanian"	"adj"	0.0
"albatross"	"n"	0.0
"albeit"	"conj"	0.0
"albino"	"n"	0.0
"album"	"n"	0.0
"albumen"	"n"	0.0
"albumin"	"n"	0.0
"alchemist"	"n"	0.0
"alchemy"	"n"	0.0
"alcohol"	"n"	0.0
"alcoholic"	"adj"	-1.0
"alcoholism"	"n"	-2.0
"alcove"	"n"	0.0
"alder"	"n"	0.0
"alderman"	"n"	0.0
"ale"	"n"	0.0
"alert"	"adj"	1.0
"alert"	"v"	0.0
"alertly"	"adv"	1.0
"alertness"	"n"	2.0
"alfalfa"	"n"	0.0
"alfresco"	"adj"	0.0
"alfresco"	"adv"	0.0
"alga"	"n"	0.0
"algae"	"n"	0.0
"algebra"	"n"	0.0
"algebraic"	"adj"	0.0
"algebraically"	"adv"	0.0
"algorithm"	"n"	0.0
"alias"	"adv"	0.0
"alibi"	"v"	0.0
"alien"	"adj"	-1.0
"alienate"	"v"	-2.0
"alienated"	"adj"	-2.0
"alienation"	"n"	-1.0
"alight"	"adj"	0.0
"alight"	"v"	0.0
"align"	"v"	0.0
"alignment"	"n"	0.0
"alike"	"adj"	0.0
"alike"	"adv"	0.0
"alimentary"	"adj"	0.0
"alimony"	"n"	0.0
"alit"	"n"	0.0
"alive"	"adj"	1.0
"alkali"	"n"	0.0
"alkaline"	"adj"	0.0
"alkalinity"	"n"	0.0
"alkaloid"	"n"	0.0
"all"	"adj"	0.0
"all"	"adv"	0.0
"all-around"	"adj"	0.0
"allay"	"v"	1.0
"allegation"	"n"	-2.0
"allege"	"v"	-1.0
"alleged"	"adj"	-1.0
"allegedly"	"adv"	-1.0
"allegiance"	"n"	0.0
"allegorical"	"adj"	0.0
"allegorically"	"adv"	0.0
"allegory"	"n"	0.0
"allegro"	"adj"	0.0
"allegro"	"adv"	0.0
"alleluia"	"n"	3.0
"allergen"	"n"	-1.0
"allergic"	"adj"	-1.0
"allergy"	"n"	-1.0
"alleviate"	"v"	1.0
"alleviation"	"n"	0.0
"alley"	"n"	0.0
"alliance"	"n"	0.0
"allied"	"adj"	1.0
"alligator"	"v"	0.0
"alliteration"	"n"	0.0
"alliterative"	"adj"	0.0
"allocate"	"v"	0.0
"allocation"	"n"	0.0
"allot"	"v"	0.0
"allotment"	"n"	0.0
"all-out"	"adj"	1.0
"allover"	"adj"	0.0
"allow"	"v"	0.0
"allowable"	"adj"	1.0
"allowance"	"v"	0.0
"alloy"	"v"	0.0
"all-purpose"	"adj"	2.0
"all-round"	"adj"	1.0
"allspice"	"n"	0.0
"all-time"	"adj"	0.0
"allude"	"v"	0.0
"allure"	"v"	1.0
"alluring"	"adj"	2.0
"allusion"	"n"	0.0
"allusive"	"adj"	0.0
"alluvial"	"adj"	0.0
"ally"	"v"	1.0
"almanac"	"n"	0.0
"almighty"	"adj"	2.0
"almond"	"n"	0.0
"almost"	"adv"	0.0
"alms"	"n"	0.0
"aloe"	"n"	0.0
"aloft"	"adv"	0.0
"aloha"	"n"	0.0
"alone"	"adj"	-1.0
"alone"	"adv"	0.0
"along"	"adv"	0.0
"alongside"	"adv"	0.0
"aloof"	"adj"	-1.0
"aloof"	"adv"	-1.0
"aloofness"	"n"	-1.0
"aloud"	"adv"	0.0
"alpaca"	"n"	0.0
"alpha"	"adj"	1.0
"alphabet"	"n"	0.0
"alphabetic"	"adj"	0.0
"alphabetical"	"adj"	0.0
"alphabetically"	"adv"	0.0
"alphabetize"	"v"	0.0
"alphanumeric"	"adj"	0.0
"alpine"	"adj"	0.0
"already"	"adv"	0.0
"alright"	"adj"	1.0
"alright"	"adv"	1.0
"also"	"adv"	0.0
"altar"	"n"	0.0
"alter"	"v"	0.0
"alteration"	"n"	0.0
"altercation"	"n"	-2.0
"alternate"	"adj"	0.0
"alternate"	"v"	0.0
"alternately"	"adv"	0.0
"alternation"	"n"	0.0
"alternative"	"adj"	0.0
"alternatively"	"adv"	0.0
"alternator"	"n"	0.0
"although"	"conj"	0.0
"altimeter"	"n"	0.0
"altitude"	"n"	0.0
"alto"	"adj"	0.0
"altogether"	"adv"	0.0
"altruism"	"n"	2.0
"altruist"	"n"	2.0
"altruistic"	"adj"	2.0
"altruistically"	"adv"	2.0
"alum"	"n"	0.0
"aluminum"	"n"	0.0
"alumna"	"n"	0.0
"alumnae"	"n"	0.0
"alumni"	"n"	0.0
"alumnus"	"n"	0.0
"always"	"adv"	0.0
"am"	"n"	0.0
"amalgam"	"n"	0.0
"amalgamate"	"adj"	0.0
"amalgamate"	"v"	0.0
"amalgamation"	"n"	0.0
"amaryllis"	"n"	0.0
"amass"	"v"	0.0
"amateur"	"adj"	-1.0
"amateurish"	"adj"	-1.0
"amateurism"	"n"	-1.0
"amatory"	"adj"	1.0
"amaze"	"v"	1.0
"amazement"	"n"	0.0
"amazing"	"adj"	3.0
"amazingly"	"adv"	3.0
"ambassador"	"n"	0.0
"ambassadorial"	"adj"	0.0
"ambassadorship"	"n"	0.0
"amber"	"adj"	0.0
"ambiance"	"n"	0.0
"ambidextrous"	"adj"	1.0
"ambidextrously"	"adv"	0.0
"ambience"	"n"	0.0
"ambient"	"adj"	0.0
"ambiguity"	"n"	-1.0
"ambiguous"	"adj"	-1.0
"ambiguously"	"adv"	0.0
"ambition"	"n"	0.0
"ambitious"	"adj"	0.0
"ambitiously"	"adv"	0.0
"ambivalence"	"n"	-1.0
"ambivalent"	"adj"	-1.0
"ambivalently"	"adv"	-1.0
"amble"	"v"	0.0
"ambrosia"	"n"	0.0
"ambulance"	"n"	0.0
"ambulatory"	"adj"	0.0
"ambush"	"v"	-1.0
"ameba"	"n"	0.0
"amebae"	"n"	0.0
"ameliorate"	"v"	1.0
"amelioration"	"n"	0.0
"amen"	"excl"	0.0
"amenable"	"adj"	1.0
"amend"	"v"	0.0
"amendable"	"adj"	1.0
"amendment"	"n"	0.0
"amends"	"n"	0.0
"amenity"	"n"	1.0
"american"	"adj"	0.0
"americanize"	"v"	0.0
"amethyst"	"adj"	0.0
"amiability"	"n"	1.0
"amiable"	"adj"	2.0
"amiably"	"adv"	2.0
"amicability"	"n"	0.0
"amicable"	"adj"	2.0
"amicably"	"adv"	2.0
"amid"	"prep"	0.0
"amidships"	"adv"	0.0
"amidst"	"prep"	0.0
"amigo"	"n"	0.0
"amiss"	"adj"	-1.0
"amiss"	"adv"	-1.0
"amity"	"n"	1.0
"ammeter"	"n"	0.0
"ammo"	"n"	0.0
"ammonia"	"n"	0.0
"ammunition"	"n"	0.0
"amnesia"	"n"	-2.0
"amnesiac"	"adj"	-1.0
"amnesty"	"v"	0.0
"amniocentesis"	"n"	0.0
"amoeba"	"n"	0.0
"amoebae"	"n"	0.0
"amoebic"	"adj"	0.0
"amok"	"adj"	-2.0
"amok"	"adv"	-2.0
"among"	"prep"	0.0
"amongst"	"prep"	0.0
"amoral"	"adj"	-2.0
"amorality"	"n"	-2.0
"amorally"	"adv"	-2.0
"amorous"	"adj"	0.0
"amorously"	"adv"	1.0
"amorousness"	"n"	0.0
"amorphous"	"adj"	0.0
"amortize"	"v"	0.0
"amount"	"v"	0.0
"amour"	"n"	0.0
"amp"	"n"	0.0
"amperage"	"n"	0.0
"ampere"	"n"	0.0
"ampersand"	"n"	0.0
"amphetamine"	"n"	0.0
"amphibian"	"adj"	0.0
"amphibious"	"adj"	0.0
"amphitheater"	"n"	0.0
"ample"	"adj"	1.0
"amplification"	"n"	0.0
"amplifier"	"n"	0.0
"amplify"	"v"	0.0
"amplitude"	"n"	0.0
"amply"	"adv"	2.0
"ampule"	"n"	0.0
"amputate"	"v"	-1.0
"amputation"	"n"	-2.0
"amputee"	"n"	0.0
"amt."	"n"	0.0
"amuck"	"adj"	-2.0
"amuck"	"adv"	-2.0
"amulet"	"n"	0.0
"amuse"	"v"	1.0
"amusement"	"n"	0.0
